"CanonicalGraphNumber","Connected","PeakRank","PeakWorkExponent","CoefficientI6Trace","CoefficientI6N1050","VanishesOnExactFit","HoldoutResidual","GraphKey"
32,true,5,7,"11/128","0",false,"0","{0, 0, 1, 1, 3, 1, 0, 3, 1, 3, 0, 1, 1, 0, 0}"
33,true,5,7,"-3/128","0",false,"0","{0, 0, 1, 1, 3, 1, 0, 3, 1, 3, 1, 0, 0, 1, 0}"
34,true,6,8,"1/72","0",false,"0","{0, 0, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 0, 0}"
35,true,6,8,"-1/384","0",false,"0","{0, 0, 1, 1, 3, 1, 1, 2, 1, 2, 2, 0, 0, 1, 0}"
36,true,5,7,"-1/256","0",false,"0","{0, 0, 1, 1, 3, 1, 1, 2, 1, 3, 1, 0, 0, 0, 1}"
37,true,6,8,"11/288","0",false,"0","{0, 0, 1, 1, 3, 2, 0, 2, 1, 2, 0, 1, 2, 0, 0}"
38,true,6,8,"0","0",true,"0","{0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 0, 0}"
39,true,6,8,"-1/576","0",false,"0","{0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 2, 0, 1, 1, 0}"
40,true,6,8,"-1/576","0",false,"0","{0, 0, 1, 1, 3, 2, 1, 2, 0, 2, 1, 0, 0, 1, 1}"
41,true,5,7,"-1/64","0",false,"0","{0, 0, 1, 1, 3, 3, 1, 1, 0, 1, 1, 0, 1, 1, 1}"
42,true,6,9,"-1/12","0",false,"0","{0, 0, 1, 2, 2, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0}"
43,true,6,9,"-7/864","0",false,"0","{0, 0, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0}"
44,true,6,9,"1/288","0",false,"0","{0, 0, 1, 2, 2, 1, 1, 1, 2, 2, 2, 0, 0, 1, 0}"
45,true,6,8,"-13/432","0",false,"0","{0, 0, 1, 2, 2, 1, 2, 0, 2, 2, 2, 0, 0, 0, 1}"
46,true,6,8,"-7/432","0",false,"0","{0, 0, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 0, 0, 1}"
47,true,6,8,"1/576","-125/3",false,"0","{0, 0, 1, 2, 2, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0}"
48,true,7,9,"1/288","125/3",false,"0","{0, 0, 1, 2, 2, 2, 1, 0, 2, 1, 2, 0, 1, 1, 0}"
49,true,7,9,"0","0",true,"0","{0, 0, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0}"
50,true,6,8,"-1/864","125/6",false,"0","{0, 0, 1, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 0, 1}"
51,true,6,8,"-5/144","250/3",false,"0","{0, 0, 1, 2, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0, 2}"
52,true,7,9,"-1/144","125/12",false,"0","{0, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0}"
53,true,6,9,"-13/2304","125/12",false,"0","{0, 1, 1, 1, 2, 1, 1, 2, 1, 2, 0, 1, 1, 0, 1}"
54,true,8,12,"-17/1152","125/4",false,"0","{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1}"
