File,Version,Purpose,Dependencies,Execution_status,Tests_VT_count,Supersedes_or_superseded_by,Outputs_produced,SHA256,Size_bytes,mtime_utc
Research/TenDDegree4Invariants_V3.wl,TenDDegree4Invariants_V3.wl,,,SUPERSEDED,15,SUPERSEDED by V4,,ec29ac78e5dd53abeb48e2aaed2e5459bdd903b2fd374771a44626d181511ea1,14111,2026-08-03T16:21:30Z
Research/TenDDegree4Invariants_V4.wl,TenDDegree4Invariants_V4.wl,Degree-4 I4=tr M^2 graph gate,,OBSERVED RUN,16,,,0b600b556c579330c32da3b8bb44829a1d76209552c30aa1fe620d6a6da5d247,14454,2026-08-03T16:28:48Z
Research/TenDDegree6Catalog.csv,TenDDegree6Catalog.csv,,,OBSERVED RUN,,,,b00cc3f037701ba89fe5815b5e87994257880922740e20baec3c124d96bf0228,4546,2026-08-05T21:41:26Z
Research/TenDDegree6Catalog_V1.wl,TenDDegree6Catalog_V1.wl,,,SUPERSEDED,12,SUPERSEDED by V2 (K6 sign),,8a4767bc3bd65ae1ed639191d11ba4d0c128234989223b6a432a8b7f27bc8b1c,6344,2026-08-05T21:27:34Z
Research/TenDDegree6Catalog_V2.wl,TenDDegree6Catalog_V2.wl,54-graph degree-6 catalog corrected signs,,OBSERVED RUN,12,,,c52f7bee266ea5e398d381e9e1205405d599782b9c3968b7a09f92d21d6ee418,6340,2026-08-05T21:41:03Z
Research/TenDDegree6GraphBasis_BatchA_V1.wl,TenDDegree6GraphBasis_BatchA_V1.wl,,,OBSERVED RUN,12,,,417c2f8ae4c4e397c5080af4d6d1993ac4641ab770fa73a70961b8f250fff652,10055,2026-08-05T16:54:25Z
Research/TenDDegree6GraphBasis_BatchB1_V1.wl,TenDDegree6GraphBasis_BatchB1_V1.wl,,,OBSERVED RUN,12,,,f18973e2b6af0dbda59aaae750c27ec0053cb6cc093143473c0b8fe64c9309d5,5133,2026-08-05T17:24:11Z
Research/TenDDegree6GraphBasis_BatchB2_V1.wl,TenDDegree6GraphBasis_BatchB2_V1.wl,,,OBSERVED RUN,12,,,e29141fd4dcb65dc9f31d82f82c802abdb374a0038d23e04952e0f55fe333c1f,5237,2026-08-05T17:52:58Z
Research/TenDDegree6GraphBasis_BatchC_V1.wl,TenDDegree6GraphBasis_BatchC_V1.wl,,,OBSERVED RUN,12,,,7c606ef1c5a328101a14e76a5e832f9445491c83d686d306ffc2320f4c8f9444,5723,2026-08-05T18:02:40Z
Research/TenDDegree6GraphBasis_FinalK6_V1.wl,TenDDegree6GraphBasis_FinalK6_V1.wl,,,SUPERSEDED,14,SUPERSEDED by V2,,7c7c18f14af35cb285b96c80285f85ede876aaab586e5774b81484caeec8da45,11973,2026-08-05T20:36:46Z
Research/TenDDegree6GraphBasis_FinalK6_V2.wl,TenDDegree6GraphBasis_FinalK6_V2.wl,,,OBSERVED RUN,14,,,b7646ebad277740960ccc796dbcf7bf76a2e5f796f82a9a0c22c5686c9ec3cff,12542,2026-08-05T20:45:54Z
Research/TenDDegree6GraphEnumeration_V1.wl,TenDDegree6GraphEnumeration_V1.wl,5-regular N=6 graph census,,OBSERVED RUN,10,,,b050f4404ac3ff2710903123c1a1d299800707ad4731947779509226d5464145,7468,2026-08-03T16:41:33Z
Research/TenDDegree6N1050Invariant_V1.wl,TenDDegree6N1050Invariant_V1.wl,,,SUPERSEDED,12,SUPERSEDED by V2,,ba677c4e9d766ba2d6fb6be3bacd82064ce7fb81a93f64bc79f1c8e6704af07c,13926,2026-08-03T17:40:54Z
Research/TenDDegree6N1050Invariant_V2.wl,TenDDegree6N1050Invariant_V2.wl,I6^(2) via N1050 corrected,,OBSERVED RUN,13,,,61ee09a71e4e0d21373d4a466a59c389c990e6e33dc94f41fb1c71da081a074c,14513,2026-08-03T18:11:58Z
Research/TenDDegree6TraceInvariant_V1.wl,TenDDegree6TraceInvariant_V1.wl,I6^(1)=Tr M^3,,OBSERVED RUN,11,,,942f8339e1f47acad8fdeeda4ba72461b8b3d9954fed1ea9feb1930f8069f155,9617,2026-08-03T17:29:22Z
Research/TenDDegree8BasisValidation_V1.wl,TenDDegree8BasisValidation_V1.wl,Validate 7 degree-8 basis directions,,OBSERVED RUN,16,,,1c88de1f589db39ae273433746d0da292a2206de830c17bce5476718c4dcb9ac,6712,2026-08-06T04:41:27Z
Research/TenDDegree8ContractionPlanning_V1.wl,TenDDegree8ContractionPlanning_V1.wl,,,OBSERVED RUN,14,,,337dcc6710da8f560775f80970cecdd54963a1e5de3e3bdc984731405a0e06d2,8994,2026-08-06T03:30:10Z
Research/TenDDegree8DiscoveryBatchA_V1.wl,TenDDegree8DiscoveryBatchA_V1.wl,,,OBSERVED RUN,13,,,e4c204193845827cc4ecc451587284061a2699173acd73d2a892572341ec4a25,11420,2026-08-06T03:53:56Z
Research/TenDDegree8DiscoveryBatchB_V1.wl,TenDDegree8DiscoveryBatchB_V1.wl,,,OBSERVED RUN,12,,,e36013c112e68cef9a61e2b08aad97762f3f7e244c1df47e63e377ec14b571f5,5137,2026-08-06T04:04:28Z
Research/TenDDegree8DiscoveryBatchC_V1.wl,TenDDegree8DiscoveryBatchC_V1.wl,,,OBSERVED RUN,12,,,ee975d55e9bc2af130231f885ef588a111cfb33f78f2529b3aa52f31e4065327,5109,2026-08-06T04:11:34Z
Research/TenDDegree8DiscoveryBatchD_V1.wl,TenDDegree8DiscoveryBatchD_V1.wl,,,OBSERVED RUN,12,,,7cf85c27a5e259a2401d403d9f7ad757176a83527147d9a38bc47b4f77feabb9,5435,2026-08-06T04:22:26Z
Research/TenDDegree8FormulaCatalog_V1.wl,TenDDegree8FormulaCatalog_V1.wl,Export degree-8 formulas,,OBSERVED RUN,15,,,5a140e9ae76419c6ee9a9d19696cf9007c8a52c1e313de4b7bc5eba2e22bbdfc,10206,2026-08-06T04:52:45Z
Research/TenDDegree8GraphEnumeration_V1.wl,TenDDegree8GraphEnumeration_V1.wl,Burnside degree-8 graph census,,OBSERVED RUN,13,,,ce701d1c652f91fb3ef9612ac5cda4e698f7068853c8195c0e5957938c43f935,7720,2026-08-05T22:30:30Z
Research/TenDDegree8InvariantFormulaCatalog.csv,TenDDegree8InvariantFormulaCatalog.csv,,,OBSERVED RUN,,,,901b6a33a822b49ba0d079be5351ed915df3d64e56f258cb33596aa77e4f12ee,20511,2026-08-06T04:53:07Z
Research/TenDDegree8InvariantFormulaCatalog.txt,TenDDegree8InvariantFormulaCatalog.txt,,,OBSERVED RUN,,,,1759a23b01543f29d05709d5c428bde14503fce69551c8dfb5089c38cd16f9a1,21538,2026-08-06T04:53:07Z
Research/TenDLorentzianFoundations_V1.wl,TenDLorentzianFoundations_V1.wl,10D Hodge/self-dual foundations V1,,SUPERSEDED,15,SUPERSEDED by TenDLorentzianFoundations_V2.wl,,93a1e9ca053117354a57f6cec92b41966c705f7624419b07ce5d9a73f83e7315,16587,2026-08-03T15:24:31Z
Research/TenDLorentzianFoundations_V2.wl,TenDLorentzianFoundations_V2.wl,10D Hodge/self-dual foundations V2,,OBSERVED RUN,15,,,c01d2dcf8ef1bd2e4c00e859052b70cf815d650ed2632efccbbc98d222eee21f,16731,2026-08-03T15:34:48Z
Research/TenDRepresentationTargets.wl,TenDRepresentationTargets.wl,Hilbert/Euler table check from Cederwall,,OBSERVED RUN,9,,,105ae4934782042ec9bf8a3712e994e6a8eb186b9da2d4fa91e9fd4c5d2d5f76,3899,2026-08-03T15:58:38Z
Research/regents_to_tensor_invariants_guide_edited.pdf,regents_to_tensor_invariants_guide_edited.pdf,,,SOURCE EXISTS,,,,4fa7e9a597bd631bda36096a20415f36f06ba11e3903f376e6fcd6476d2eff05,333956,2026-07-03T21:56:46Z
MIT/.gitattributes,.gitattributes,,,SOURCE EXISTS,,,,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,66,2026-07-27T22:48:47Z
MIT/.gitignore,.gitignore,,,SOURCE EXISTS,,,,0188bf8452ee9938b96d46951feede7d9d70d3b6285a4ebd08bb7b2f74ec15e9,124,2026-07-27T22:48:47Z
MIT/IMPLEMENTATION_PLAN.md,IMPLEMENTATION_PLAN.md,,,SOURCE EXISTS,,,,03a7bfb6133a84cf83aeaa89e5ad1010dc53cbb47957b528399e70b38795633e,2714,2026-07-27T22:48:47Z
MIT/MIGRATION.md,MIGRATION.md,,,SOURCE EXISTS,,,,484361a1c71097abc49f9726758b6c04480d12f576559580960e3fae00c1a048,1317,2026-08-06T05:55:21Z
MIT/NOTES.md,NOTES.md,,,SOURCE EXISTS,,,,9f160f77637432ef5e4df4bba8633ef3319af2b479d75490a93033ae61a91fc6,3684,2026-07-27T22:48:47Z
MIT/Project_Audit_2026-08-06/rerun_smoke.txt,rerun_smoke.txt,,,OBSERVED RUN,,,,ade09d9d0c942f87826b4b8fde64a47279e834ad982ea9d215ba12441eab00f3,203,2026-08-06T13:22:23Z
MIT/Project_Audit_2026-08-06/sha256_all_research.txt,sha256_all_research.txt,,,OBSERVED RUN,,,,c44fce292794b00bd1da374808286af76e253c6bbb8592419c894472822bcbc0,5982,2026-08-06T13:22:23Z
MIT/Project_Audit_2026-08-06/sha256_mit_core.txt,sha256_mit_core.txt,,,OBSERVED RUN,,,,cbf13a22c96b5a764dd5cf02cfba6f4f34b3a84d0b3bd6b2f4396c5f3f01728c,6760,2026-08-06T13:22:23Z
MIT/Project_Audit_2026-08-06/sha256_research_top.txt,sha256_research_top.txt,,,OBSERVED RUN,,,,b7ba48bcd1ba45cf33a5c13d43101f92621e9e44dfe8f091e4d2a55c44093e6d,4505,2026-08-06T13:18:58Z
MIT/Project_Audit_2026-08-06/supporting/MIT_10d_explore_summary.json,MIT_10d_explore_summary.json,,,SOURCE EXISTS,,,,5a8815a59810f494dae4aa0db4eca98eb6ed15772a76516f018c3b30680b9890,3109,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/MIT_10d_results.md,MIT_10d_results.md,,,SOURCE EXISTS,,,,0b0be3cc190f569d634455dce014ab5eeb7af83d6dea5c81feb891baf8db7c80,1029,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/MIT_6d_generators.json,MIT_6d_generators.json,,,SOURCE EXISTS,,,,8f42d750bcf6fa6bcd2cbebe046df1516d43fc222bfbb48536223d6d59a66664,412,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/MIT_6d_ranks.json,MIT_6d_ranks.json,,,SOURCE EXISTS,,,,21f2a821faafd004202053694e03c265cc59038661166f5c997f6991a8a837eb,1984,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/MIT_6d_reproduction.md,MIT_6d_reproduction.md,,,SOURCE EXISTS,,,,ac5f12f24ecc8c3e113bd1204e9f56f4e6cfaac2407c87b86a51333b206f0dd4,1201,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/MIT_initial_audit.md,MIT_initial_audit.md,,,SOURCE EXISTS,,,,663bac4cdb5b26d824a6593143101e1eae1f650e411347aa3b4a7fc6e9b9b77b,7651,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/RESEARCH_LOGv4.md,RESEARCH_LOGv4.md,,,SOURCE EXISTS,,,,b385693d43cd6f8d9d07a2f8df4ca8e307f14c6a38860420ca84280648ecacee,11048,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/TenDChiralFiveForm_Representation_Literature_Gate.md,TenDChiralFiveForm_Representation_Literature_Gate.md,,,SOURCE EXISTS,,,,5f5b4592baf86cae66bf2d11a5b2aec7c2a1cad7155edab18a4541f9b9bb4d64,15597,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/TenDDegree6Catalog.csv,TenDDegree6Catalog.csv,,,OBSERVED RUN,,,,b00cc3f037701ba89fe5815b5e87994257880922740e20baec3c124d96bf0228,4546,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/TenDDegree8InvariantFormulaCatalog.csv,TenDDegree8InvariantFormulaCatalog.csv,,,OBSERVED RUN,,,,901b6a33a822b49ba0d079be5351ed915df3d64e56f258cb33596aa77e4f12ee,20511,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/TenDDegree8InvariantFormulaCatalog.txt,TenDDegree8InvariantFormulaCatalog.txt,,,OBSERVED RUN,,,,1759a23b01543f29d05709d5c428bde14503fce69551c8dfb5089c38cd16f9a1,21538,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/rerun_smoke.txt,rerun_smoke.txt,,,OBSERVED RUN,,,,ade09d9d0c942f87826b4b8fde64a47279e834ad982ea9d215ba12441eab00f3,203,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/sha256_all_research.txt,sha256_all_research.txt,,,OBSERVED RUN,,,,c44fce292794b00bd1da374808286af76e253c6bbb8592419c894472822bcbc0,5982,2026-08-06T13:23:36Z
MIT/Project_Audit_2026-08-06/supporting/sha256_mit_core.txt,sha256_mit_core.txt,,,OBSERVED RUN,,,,cbf13a22c96b5a764dd5cf02cfba6f4f34b3a84d0b3bd6b2f4396c5f3f01728c,6760,2026-08-06T13:23:36Z
MIT/README.md,README.md,,,SOURCE EXISTS,,,,1cd619a5d82206c505ed62d8680183fa44037df08c171307d33e0306506c0844,4643,2026-08-06T05:55:21Z
MIT/SYSTEM.md,SYSTEM.md,,,SOURCE EXISTS,,,,5cee81292fb8407992d7e71af93f105ac265dad1176973d88995b807e55d1437,2547,2026-07-27T22:48:47Z
MIT/benchmarks/paper_6d_expected.json,paper_6d_expected.json,,,SOURCE EXISTS,,,,0fafbc6921349df1b3ebae77473d3d8654712c6345c141131baf832a57cb7d15,413,2026-08-06T05:25:53Z
MIT/checkpoints/graphs/graphs_N10_r3.json,graphs_N10_r3.json,,,OBSERVED RUN,,,,ba1411a2ba78d7e2f6900dd0ab9099a14f36ccc902c97d7c1dcff69ad9313588,6165,2026-08-06T05:54:43Z
MIT/checkpoints/graphs/graphs_N2_r3.json,graphs_N2_r3.json,,,OBSERVED RUN,,,,cbd23a70aae6076bcafeba1b73daaeaea3fd445ab65fdf8eb83005c5fa4d6ba5,142,2026-08-06T05:44:34Z
MIT/checkpoints/graphs/graphs_N4_r3.json,graphs_N4_r3.json,,,OBSERVED RUN,,,,41808500aa93d2504725c8fb6edb0f7b1a79cebadc82f4c1f872693930df6ef6,268,2026-08-06T05:44:34Z
MIT/checkpoints/graphs/graphs_N6_r3.json,graphs_N6_r3.json,,,OBSERVED RUN,,,,ec3af4deb28954d0e075f05c5c0edeac261c24f7b760cdb6446e024d71a54db2,1064,2026-08-06T05:44:34Z
MIT/checkpoints/graphs/graphs_N8_r3.json,graphs_N8_r3.json,,,OBSERVED RUN,,,,9094adefefd245955fc7d4000ccb8408f30786a398be9d61d43a5b051dd3ae2b,5557,2026-08-06T05:44:34Z
MIT/configs/self_dual_five_form_10d.yaml,self_dual_five_form_10d.yaml,,,SOURCE EXISTS,,,,c41c5904a6a572e5d6c0d091a8db1851a43ba9ec5774cc0e47dd5608398c5f67,661,2026-08-06T05:25:21Z
MIT/configs/three_form_6d.yaml,three_form_6d.yaml,,,SOURCE EXISTS,,,,e43764895bdcdceffc2b836895762070ad8d9b97cbd9156853ceba4a622a9a0b,395,2026-08-06T05:25:19Z
MIT/docs/AUTONOMOUS_LOCAL.md,AUTONOMOUS_LOCAL.md,,,SOURCE EXISTS,,,,e4b65ccb3ab2a9912b4603a61a616cd3ac6125ea5a3317b9e0bdac093741258e,3798,2026-07-28T23:33:02Z
MIT/docs/invariants_78.json,invariants_78.json,,,SOURCE EXISTS,,,,532cadca61471847b8c2f7479de70b9a92b6448dfedd905dd14cd23243793bb5,12435,2026-07-28T23:33:02Z
MIT/docs/invariants_78.pdf,invariants_78.pdf,,,SOURCE EXISTS,,,,742b51875e2108dea7730c90039720772309cc4ace4e620949450e3181722f52,68903,2026-07-28T23:33:02Z
MIT/outputs/10d/checkpoints/graphs_N2.json,graphs_N2.json,,,OBSERVED RUN,,,,c77e0cb9f24b24d3ea7c7dfa5862afa3143e1462121482268c98e5b3a4a3ee45,337,2026-08-06T05:55:16Z
MIT/outputs/10d/checkpoints/graphs_N4.json,graphs_N4.json,,,OBSERVED RUN,,,,1948da317ae60478d904f2134010dc747b379d88ea4af726fdbac90fba56d564,412,2026-08-06T05:55:16Z
MIT/outputs/10d/checkpoints/self_duality.json,self_duality.json,,,SOURCE EXISTS,,,,bc46e6707941fdef16a7e2949ab0271cac9eca9081feaa3fbad2d26779709cdc,303,2026-08-06T13:07:05Z
MIT/outputs/10d/explore_summary.json,explore_summary.json,,,SOURCE EXISTS,,,,5a8815a59810f494dae4aa0db4eca98eb6ed15772a76516f018c3b30680b9890,3109,2026-08-06T13:07:05Z
MIT/outputs/10d/generators.json,generators.json,,,SOURCE EXISTS,,,,1195729e355fadf5d879e7967f1e0fe88cf31fd981540d6f21a29ecfca758888,156,2026-08-06T13:07:05Z
MIT/outputs/10d/graphs.json,graphs.json,,,SOURCE EXISTS,,,,8272a8a2aba428a6371a32c3ca84951fbf6f1786554d9aeb3caeac7e4af72c30,819,2026-08-06T13:07:05Z
MIT/outputs/10d/ranks.json,ranks.json,,,SOURCE EXISTS,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,2,2026-08-06T13:07:05Z
MIT/outputs/10d/syzygies.json,syzygies.json,,,SOURCE EXISTS,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2,2026-08-06T13:07:05Z
MIT/outputs/6d/generators.json,generators.json,,,OBSERVED RUN,,,,8f42d750bcf6fa6bcd2cbebe046df1516d43fc222bfbb48536223d6d59a66664,412,2026-08-06T13:05:16Z
MIT/outputs/6d/graphs.json,graphs.json,,,OBSERVED RUN,,,,0d9faa652355b88fef6ebbc1db24498a418d1342b9cb776d5d7de9d03cd02dad,47067,2026-08-06T13:05:16Z
MIT/outputs/6d/ranks.json,ranks.json,,,OBSERVED RUN,,,,21f2a821faafd004202053694e03c265cc59038661166f5c997f6991a8a837eb,1984,2026-08-06T13:05:16Z
MIT/outputs/6d/syzygies.json,syzygies.json,,,OBSERVED RUN,,,,263df599295690deb285b73476c8b47c345ff984bc1bc114fe94d0bae10ff3da,16300,2026-08-06T13:05:16Z
MIT/references/machine_learning_invariants_of_tensors.pdf,machine_learning_invariants_of_tensors.pdf,,,SOURCE EXISTS,,,,03c5d970f96bda42b6c39c38e858412c65f6d9fac315ecdd0267bed95212c24a,668076,2026-08-06T05:15:44Z
MIT/reports/10d_methodology.md,10d_methodology.md,,,SOURCE EXISTS,,,,2fa7ebe481fe3c40badade3b159c93700064a28940116de2378ad830b0d8038c,1216,2026-08-06T13:07:05Z
MIT/reports/10d_results.md,10d_results.md,,,SOURCE EXISTS,,,,0b0be3cc190f569d634455dce014ab5eeb7af83d6dea5c81feb891baf8db7c80,1029,2026-08-06T13:07:05Z
MIT/reports/6d_reproduction.md,6d_reproduction.md,,,SOURCE EXISTS,,,,ac5f12f24ecc8c3e113bd1204e9f56f4e6cfaac2407c87b86a51333b206f0dd4,1201,2026-08-06T13:05:16Z
MIT/reports/initial_audit.md,initial_audit.md,,,SOURCE EXISTS,,,,663bac4cdb5b26d824a6593143101e1eae1f650e411347aa3b4a7fc6e9b9b77b,7651,2026-08-06T05:58:38Z
MIT/requirements.txt,requirements.txt,,,OBSERVED RUN,,,,c6d1e4e5e9ab4c3935d85d39d4dbcb20759b9b5d80211625e48b83bbc45b372f,89,2026-08-06T05:27:26Z
MIT/research_state/.gitignore,.gitignore,,,SOURCE EXISTS,,,,240a3e0d37d2e86b614063f5347eb02d4f99ca6c254de6b82871ff8d95532a7d,14,2026-07-27T22:48:47Z
MIT/research_state/cache/graphs_N2_r3.json,graphs_N2_r3.json,,,SOURCE EXISTS,,,,cbd23a70aae6076bcafeba1b73daaeaea3fd445ab65fdf8eb83005c5fa4d6ba5,142,2026-08-06T05:15:16Z
MIT/research_state/cache/graphs_N4_r3.json,graphs_N4_r3.json,,,SOURCE EXISTS,,,,41808500aa93d2504725c8fb6edb0f7b1a79cebadc82f4c1f872693930df6ef6,268,2026-08-06T05:15:16Z
